Name,Genre,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
Monster Hunter: World,Action,PS4,Capcom,Capcom,9.3,9,,4.67,1.03,1.06,2.17,0.42,2018
"Pokemon: Let's Go, Pikachu!",Role-Playing,NS,Nintendo,Game Freak,8.3,,,4.57,2.16,1.24,0.82,0.34,2018
FIFA 15,Sports,PS3,EA Sports,EA Canada,6.9,,,4.56,0.59,3.25,0.04,0.68,2014
Star Wars Battlefront II (2017),Shooter,PS4,Electronic Arts,EA DICE,,,,4.53,1.7,1.99,0.12,0.73,2017
Nintendogs + cats,Simulation,3DS,Nintendo,Nintendo EAD,7.2,,4.48,,,,,,2011
Tom Clancy's The Division,Shooter,PS4,Ubisoft,Massive Entertainment,,,,4.37,1.49,2.04,0.16,0.69,2016
Tom Clancy's Rainbow Six: Siege,Shooter,PS4,Ubisoft,Ubisoft Montreal,,,,4.36,1.29,2.06,0.36,0.64,2015
Call of Duty: Advanced Warfare,Shooter,X360,Activision,High Moon Studios,9.1,,,4.34,2.81,1.13,0,0.41,2014
Watch Dogs,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal,,,,4.32,1.4,2.13,0.11,0.68,2014
Monster Hunter Generations,Action,3DS,Capcom,Capcom,8.8,,4.3,,,,,,2016
Call of Duty: Advanced Warfare,Shooter,PS3,Activision,High Moon Studios,9.1,,,4.27,1.59,1.81,0.2,0.67,2014
Assassin's Creed: Revelations,Action,PS3,Ubisoft,Ubisoft Montreal,8.8,,,4.23,1.41,2.03,0.1,0.69,2011
Assassin's Creed: Revelations,Action,X360,Ubisoft,Ubisoft Montreal,7.9,,,4.22,2.28,1.47,0.04,0.44,2011
Monster Hunter 4 Ultimate,Role-Playing,3DS,Capcom,Capcom,8.8,,4.2,,,,,,2015
FIFA Soccer 12,Sports,X360,EA Sports,EA Canada,9.2,,,4.18,0.85,2.79,0.02,0.52,2011
Call of Duty: Ghosts,Shooter,PS4,Activision,Infinity Ward,7.5,,,4.17,1.79,1.64,0.05,0.69,2013
Star Wars Battlefront (2015),Shooter,XOne,Electronic Arts,EA DICE,6.9,,,4.15,2.49,1.26,0.02,0.38,2015
FIFA 14,Sports,X360,EA Sports,EA Canada,,,,4.15,0.94,2.92,0.01,0.29,2013
Assassin's Creed: Unity,Action,PS4,Ubisoft,Ubisoft Montreal,,,,4.14,1.25,2.16,0.09,0.65,2014
Destiny 2,Shooter,PS4,Activision,Bungie,,,,4.14,1.92,1.44,0.1,0.69,2017
The Sims 4,Simulation,PC,Electronic Arts,Maxis,7,,,4.1,1.2,2.6,,0.3,2014
Monster Hunter 4,Role-Playing,3DS,Capcom,Capcom,,,4.1,,,,,,2013
Assassin's Creed Origins,Action,PS4,Ubisoft,Ubisoft Montreal,,,,4.06,1.22,2.11,0.11,0.63,2017
Far Cry 4,Shooter,PS4,Ubisoft,Ubisoft Montreal,8.4,,,4.06,1.18,2.14,0.11,0.63,2014
Super Mario Maker,Platform,WiiU,Nintendo,Nintendo EAD,8.8,,4,,,,,,2015
The Elder Scrolls V: Skyrim,Role-Playing,PC,Bethesda Softworks,Bethesda Game Studios,9.2,,,3.99,1.18,2.25,,0.56,2011
NBA 2K16,Sports,PS4,2K Sports,Visual Concepts,8.7,,,3.98,2.56,0.66,0.05,0.71,2015
Far Cry 5,Action,PS4,Ubisoft,Ubisoft,7.9,,,3.95,1.44,1.73,0.15,0.62,2018
Battlefield 4,Shooter,PS4,Electronic Arts,EA DICE,8.3,,,3.94,1.4,1.74,0.19,0.62,2013
Assassin's Creed IV: Black Flag,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,8.7,,,3.94,1.34,1.86,0.13,0.62,2013
Just Dance 2014,Music,Wii,Ubisoft,Ubisoft Paris,7.4,,,3.89,1.91,1.66,,0.33,2013
Resident Evil VII: Biohazard,Action,PS4,Capcom,Capcom,8.6,,3.83,,,,,,2017
FIFA 17,Sports,XOne,Electronic Arts,EA Canada,8.8,,,3.71,1.04,2.4,,0.27,2016
The Legend of Zelda: A Link Between Worlds,Adventure,3DS,Nintendo,Nintendo EAD,9.3,,3.71,,,,,,2013
The Legend of Zelda: Skyward Sword,Adventure,Wii,Nintendo,Nintendo EAD,9.4,,3.67,,,,,,2011
Battlefield 4,Shooter,PS3,Electronic Arts,EA DICE,8.7,,,3.64,1.31,1.5,0.27,0.55,2013
Assassin's Creed Syndicate,Action,PS4,Ubisoft,Ubisoft Quebec,8.6,,,3.6,0.9,2.06,0.08,0.55,2015
Assassin's Creed: Unity,Action,XOne,Ubisoft,Ubisoft Montreal,,,,3.58,2.34,0.9,0,0.34,2014
Battlefield 4,Shooter,X360,Electronic Arts,EA DICE,8.7,,,3.54,2.16,1.05,0.02,0.32,2013
NBA 2K17,Sports,PS4,2K Sports,Visual Concepts,9,,,3.52,2.28,0.59,0.03,0.63,2016
Mortal Kombat X,Fighting,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,,,,3.49,1.94,0.94,,0.61,2015
Dying Light,Action,PC,Warner Bros. Interactive Entertainment,Techland,,,3.47,,,,,,2016
FIFA 14,Sports,PS4,EA Sports,EA Canada,,,,3.43,0.62,2.18,0.12,0.51,2013
LittleBigPlanet 2,Platform,PS3,Sony Computer Entertainment,Media Molecule,9.1,,,3.43,1.83,1.07,0.06,0.47,2011
Destiny,Shooter,XOne,Activision,Bungie,8.3,,,3.41,2.17,0.92,,0.32,2014
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,PS4,Bethesda Softworks,Bethesda Softworks,8.3,,,3.36,1.24,1.5,0.08,0.54,2016
Watch Dogs 2,Action,PS4,Ubisoft,Ubisoft,,,,3.36,0.98,1.74,0.12,0.52,2016
Assassin's Creed IV: Black Flag,Action-Adventure,X360,Ubisoft,Ubisoft Montreal,8.5,,,3.34,1.9,1.14,0.01,0.3,2013
NBA 2K18,Sports,PS4,2K Sports,Visual Concepts,8.1,,,3.34,2.13,0.57,0.04,0.59,2017
Animal Crossing: Happy Home Designer,Simulation,3DS,Nintendo,Nintendo EAD,6.6,,3.32,,,,,,2015
Madden NFL 16,Sports,PS4,EA Sports,EA Tiburon,8.2,,,3.3,2.39,0.31,,0.61,2015
Madden NFL 17,Sports,PS4,EA Sports,EA Tiburon,8.5,,,3.28,2.3,0.37,,0.6,2016
Far Cry 3,Shooter,PS3,Ubisoft,Ubisoft Montreal,,,,3.27,0.88,1.79,0.1,0.5,2012
FIFA 16,Sports,XOne,EA Sports,EA Canada,8.5,,,3.25,0.92,2.1,,0.24,2015
L.A. Noire,Adventure,PS3,Rockstar Games,Team Bondi,9.1,,,3.21,1.29,1.31,0.12,0.49,2011
Middle-Earth: Shadow of Mordor,Action,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,,,,3.19,1.03,1.6,0.05,0.51,2014
Assassin's Creed IV: Black Flag,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal,8.3,,,3.19,1.07,1.55,0.06,0.51,2013
Assassin's Creed Odyssey,Action-Adventure,PS4,Ubisoft,Ubisoft Quebec,9.5,,,3.18,1.18,1.4,0.09,0.51,2018
FIFA 18,Sports,XOne,EA Sports,EA Vancouver,8,,,3.14,0.98,1.92,,0.23,2017
Resident Evil 6,Action,PS3,Capcom,Capcom,,,,3.12,0.88,0.97,0.88,0.39,2012
Tom Clancy's Ghost Recon Wildlands,Shooter,PS4,Ubisoft,Ubisoft Paris,7,,,3.12,1.07,1.35,0.22,0.47,2017
NBA 2K13,Sports,X360,2K Sports,Visual Concepts,8.6,,,3.11,2.62,0.21,0.01,0.28,2012
Titanfall,Shooter,XOne,Electronic Arts,Respawn Entertainment,,,,3.11,1.88,0.91,0.04,0.28,2014
Mario Party 9,Party,Wii,Nintendo,"Nd Cube Co., Ltd.",6.5,,3.11,,,,,,2012
Call of Duty: Ghosts,Shooter,XOne,Activision,Infinity Ward,7.5,,,3.07,1.92,0.86,,0.28,2013
Mass Effect 3,Role-Playing,X360,Electronic Arts,BioWare,,,,3.04,1.94,0.84,0.03,0.24,2012
New Super Luigi U,Action,WiiU,Nintendo,Nintendo,7.8,,3.04,,,,,,2013
The Legend of Zelda: Majora's Mask 3D,Action-Adventure,3DS,Nintendo,GREZZO,9,,3,,,,,,2015
Far Cry 3,Shooter,X360,Ubisoft,Ubisoft Montreal,,,,2.98,1.38,1.33,0.02,0.25,2012
Star Wars: The Old Republic,Role-Playing,PC,Electronic Arts,BioWare / LucasArts,8.4,,,2.97,1.59,1.01,,0.37,2011
Yokai Watch 2: Psychic Specters,Role-Playing,3DS,Nintendo,Level 5,,,,2.95,0.12,0.12,2.69,0.02,2017
Super Mario Maker,Platform,3DS,Nintendo,Nintendo,7.3,,2.93,,,,,,2016
Madden NFL 13,Sports,X360,EA Sports,EA Tiburon,8,,,2.93,2.53,0.16,,0.24,2012
Doom (2016),Shooter,PS4,Bethesda Softworks,id Software,,,,2.92,0.93,1.48,0.04,0.46,2016
FIFA 15,Sports,X360,EA Sports,EA Canada,6.9,,,2.91,0.8,1.9,,0.21,2014
Mortal Kombat (2011),Fighting,PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.5,,,2.9,1.98,0.54,,0.38,2011
1-2-Switch,Party,NS,Nintendo,Nintendo EPD,5.7,,2.86,,,,,,2017
Yokai Watch,Role-Playing,3DS,Nintendo,Level 5,7.7,,2.86,,,,,,2015
Fire Emblem Fates,Role-Playing,3DS,Nintendo,Intelligent Systems,,,2.85,,,,,,2016
Killzone 3,Shooter,PS3,Sony Computer Entertainment,Guerrilla Games,8.2,,,2.81,1.46,0.87,0.09,0.38,2011
Skylanders: Spyro's Adventure,Action,Wii,Activision,Toys for Bob,8,,,2.79,1.35,1.15,,0.3,2011
Saints Row: The Third,Action,X360,THQ,Volition Inc.,8.3,,,2.77,1.26,1.14,0.07,0.3,2011
Battlefield 3,Shooter,PC,Electronic Arts,Dice,8.9,,,2.76,0.89,1.44,,0.43,2011
Need for Speed: Most Wanted (2012),Racing,PS3,Electronic Arts,Criterion Games,,,,2.74,0.71,1.52,0.06,0.45,2012
L.A. Noire,Adventure,X360,Rockstar Games,Team Bondi,9.1,,,2.73,1.55,0.92,0.02,0.24,2011
Far Cry: Primal,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal,7.2,,,2.73,0.63,1.61,0.07,0.41,2016
"Pokemon: Let's Go, Eevee!",Role-Playing,NS,Nintendo,Game Freak,8.3,,,2.73,1.22,0.8,0.51,0.2,2018
Need for Speed (2015),Racing,PS4,Electronic Arts,Ghost Games,7,,,2.72,0.59,1.66,0.06,0.41,2015
Madden NFL 13,Sports,PS3,EA Sports,EA Tiburon,8.3,,,2.71,2.12,0.24,,0.36,2012
Tom Clancy's Rainbow Six: Siege,Shooter,XOne,Ubisoft,Ubisoft Montreal,,,,2.71,1.62,0.84,,0.25,2015
Madden NFL 12,Sports,X360,EA Sports,EA Tiburon,7.8,,,2.7,2.43,0.11,,0.16,2011
Mario Party: Island Tour,Party,3DS,Nintendo,"Nd Cube Co., Ltd.",5.5,,2.68,,,,,,2013
Final Fantasy XIII-2,Role-Playing,PS3,Square Enix,Square Enix,,,,2.66,0.78,0.75,0.89,0.23,2012
NBA 2K12,Sports,X360,2K Sports,Visual Concepts,9.1,,,2.64,2.32,0.14,0.01,0.17,2011
NBA 2K13,Sports,PS3,2K Sports,Visual Concepts,8.9,,,2.63,1.74,0.46,0.05,0.39,2012
NBA 2K19,Sports,PS4,2K Sports,Visual Concepts,,,,2.63,1.69,0.44,0.03,0.47,2018
Madden NFL 18,Sports,PS4,EA Sports,EA Tiburon,8.2,,,2.62,1.73,0.42,,0.47,2017
Monster Hunter 3G,Role-Playing,3DS,Capcom,Capcom,7.6,,2.6,,,,,,2013
Mario + Rabbids: Kingdom Battle,Strategy,NS,Ubisoft,Ubisoft Milan,8.3,,,2.59,1.1,1.08,0.22,0.2,2017
Tom Clancy's The Division,Shooter,XOne,Ubisoft,Massive Entertainment,,,,2.59,1.54,0.82,,0.24,2016
Mario & Luigi: Dream Team,Role-Playing,3DS,Nintendo,AlphaDream Corporation,8,,2.58,,,,,,2013
Bastion,Role-Playing,PC,Warner Bros. Interactive Entertainment,Supergiant Games,8.5,,2.58,,,,,,2011
Skylanders Giants,Misc,Wii,Activision,Toys for Bob,,,,2.58,1.49,0.86,,0.23,2012
NBA 2K14,Sports,X360,2K Sports,Visual Concepts,,,,2.57,2.11,0.19,0,0.27,2013
FIFA 16,Sports,PS3,EA Sports,EA Canada,9,,,2.55,0.43,1.68,0.05,0.38,2015
Mario Tennis Aces,Sports,NS,Nintendo,Camelot Software Planning,7.8,,2.53,,,,,,2018
Tomb Raider (2013),Action,PS3,Square Enix,Crystal Dynamics,8.9,,,2.51,0.6,1.45,0.08,0.38,2013
Rise of the Tomb Raider,Adventure,PC,Square Enix,Crystal Dynamics,,,2.49,,,,,,2016
NBA 2K15,Sports,PS4,2K Sports,Visual Concepts,,,,2.49,1.49,0.55,0.01,0.44,2014
Saints Row: The Third,Action,PS3,THQ,Volition Inc.,8.3,,,2.48,0.86,1.06,0.18,0.37,2011
Assassin's Creed Origins,Action,XOne,Ubisoft,Ubisoft Montreal,,,,2.47,1.34,0.92,,0.22,2017
Madden NFL 16,Sports,XOne,EA Sports,EA Tiburon,8.4,,,2.47,2.13,0.08,,0.26,2015
Madden NFL 17,Sports,XOne,EA Sports,EA Tiburon,8.1,,,2.44,2.14,0.04,,0.26,2016
Paper Mario: Sticker Star,Role-Playing,3DS,Nintendo,Intelligent Systems,,,2.43,,,,,,2012
Donkey Kong Country Returns 3D,Platform,3DS,Nintendo,Monster Games,8.6,,2.42,,,,,,2013
Kirby Star Allies,Platform,NS,Nintendo,HAL Laboratory,8.1,10,2.42,,,,,,2018
NBA 2K16,Sports,XOne,2K Sports,Visual Concepts,8.3,,,2.41,2.01,0.15,,0.25,2015
God of War: Ascension,Action,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,,,,2.4,1.23,0.72,0.04,0.41,2013
Batman: Arkham Origins,Action-Adventure,PS3,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,,,,2.4,1.08,0.88,0.04,0.4,2013
Mario & Sonic at the London 2012 Olympic Games,Sports,Wii,Sega,Sega,6.8,,2.39,,,,,,2011
Kirby: Triple Deluxe,Platform,3DS,Nintendo,HAL Laboratory,7.8,,2.37,,,,,,2014
Sleeping Dogs,Action-Adventure,PC,Square Enix,United Front Games,8.5,,2.36,,,,,,2012
Destiny 2,Shooter,XOne,Activision,Bungie,,,,2.35,1.66,0.47,,0.23,2017
Lego Marvel Super Heroes,Action,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,2.34,1.26,0.87,,0.21,2013
Dragon Age: Inquisition,Role-Playing,PS4,Electronic Arts,BioWare Edmonton,,,,2.34,1.07,0.8,0.08,0.38,2014
Madden NFL 25,Sports,X360,EA Sports,EA Tiburon,7.8,,,2.33,2.02,0.07,,0.25,2013
Assassin's Creed IV: Black Flag,Action,XOne,Ubisoft,Ubisoft Montreal,8.3,,,2.32,1.51,0.59,,0.22,2013
The Legend of Zelda: The Wind Waker,Action-Adventure,WiiU,Nintendo,Nintendo EAD,9.3,,2.28,,,,,,2013
Madden NFL 12,Sports,PS3,EA Sports,EA Tiburon,7.8,,,2.27,1.93,0.15,,0.18,2011
Madden NFL 15,Sports,PS4,EA Sports,EA Tiburon,,,,2.25,1.58,0.25,,0.41,2014
Fire Emblem: Awakening,Role-Playing,3DS,Nintendo,Intelligent Systems,9,,2.24,,,,,,2013
Battlefield V,Shooter,PS4,Electronic Arts,EA DICE,,,,2.22,0.8,0.93,0.16,0.34,2018
FIFA 19,Sports,XOne,Electronic Arts,EA Sports,,,,2.22,0.56,1.5,,0.16,2018
NBA 2K14,Sports,PS3,2K Sports,Visual Concepts,,,,2.22,1.45,0.34,0.04,0.39,2013
Madden NFL 19,Sports,PS4,EA Sports,EA Tiburon,,,,2.21,1.63,0.18,,0.41,2018
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,Role-Playing,3DS,Nintendo,Level 5,,,2.2,,,,,,2018
Skylanders SWAP Force,Platform,Wii,Activision,Beenox,,,,2.19,1.23,0.77,,0.19,2013
FIFA 15,Sports,XOne,EA Sports,EA Canada,7.9,,,2.19,0.64,1.39,,0.16,2014
Mario Party 10,Misc,WiiU,Nintendo,"Nd Cube Co., Ltd.",6.3,,2.19,,,,,,2015
Pro Evolution Soccer 2012,Sports,PS3,Konami,Konami,7.5,,,2.19,0.34,0.97,0.55,0.32,2011
Need for Speed: Payback,Racing,PS4,Electronic Arts,Ghost Games,5.8,,,2.18,0.62,1.18,0.04,0.34,2017
Destiny: The Taken King,Shooter,PS4,Activision,Bungie,,,,2.18,0.97,0.8,0.05,0.36,2015
Spyro Reignited Trilogy,Platform,PS4,Activision,Toys for Bob,,,,2.17,0.75,1.07,,0.35,2018
Need for Speed Rivals,Racing,PS4,Electronic Arts,Ghost Games,,,,2.17,0.75,1.04,0.03,0.35,2013
Battlefield: Hardline,Shooter,PS4,Electronic Arts,EA DICE,,,,2.15,0.72,0.97,0.14,0.33,2015
NBA 2K12,Sports,PS3,2K Sports,Visual Concepts,9,,,2.13,1.62,0.27,0.05,0.18,2011
Mortal Kombat (2011),Fighting,X360,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.6,,,2.12,1.64,0.31,,0.17,2011
ARMS,Fighting,NS,Nintendo,Nintendo EPD,7.9,,2.1,,,,,,2017
Killzone: Shadow Fall,Shooter,PS4,Sony Computer Entertainment,Guerrilla Games,9,,2.1,,,,,,2013
Battlefield 4,Shooter,XOne,Electronic Arts,EA DICE,,,,2.09,1.26,0.65,,0.19,2013
